L 603510,4 hit 
S 643f3c,4 hit 
L 603514,4 hit 
S 643fbc,4 hit 
L 603518,4 hit 
S 64403c,4 hit 
L 60351c,4 hit 
S 6440bc,4 hit 
L 603520,4 miss eviction 
S 643140,4 miss eviction 
L 603524,4 hit 
S 6431c0,4 miss eviction 
L 603528,4 hit 
S 643240,4 miss eviction 
L 60352c,4 hit 
S 6432c0,4 miss eviction 
L 603530,4 hit 
S 643340,4 miss eviction 
L 603534,4 hit 
S 6433c0,4 miss eviction 
L 603538,4 hit 
S 643440,4 miss eviction 
L 60353c,4 hit 
S 6434c0,4 miss eviction 
L 6035a0,4 miss eviction 
S 643144,4 hit 
L 6035a4,4 hit 
S 6431c4,4 hit 
L 6035a8,4 hit 
S 643244,4 hit 
L 6035ac,4 hit 
S 6432c4,4 hit 
L 6035b0,4 hit 
S 643344,4 hit 
L 6035b4,4 hit 
S 6433c4,4 hit 
L 6035b8,4 hit 
S 643444,4 hit 
L 6035bc,4 hit 
S 6434c4,4 hit 
L 603620,4 miss eviction 
S 643148,4 hit 
L 603624,4 hit 
S 6431c8,4 hit 
L 603628,4 hit 
S 643248,4 hit 
L 60362c,4 hit 
S 6432c8,4 hit 
L 603630,4 hit 
S 643348,4 hit 
L 603634,4 hit 
S 6433c8,4 hit 
L 603638,4 hit 
S 643448,4 hit 
L 60363c,4 hit 
S 6434c8,4 hit 
L 6036a0,4 miss eviction 
S 64314c,4 hit 
L 6036a4,4 hit 
S 6431cc,4 hit 
L 6036a8,4 hit 
S 64324c,4 hit 
L 6036ac,4 hit 
S 6432cc,4 hit 
L 6036b0,4 hit 
S 64334c,4 hit 
L 6036b4,4 hit 
S 6433cc,4 hit 
L 6036b8,4 hit 
S 64344c,4 hit 
L 6036bc,4 hit 
S 6434cc,4 hit 
L 603720,4 miss eviction 
S 643150,4 hit 
L 603724,4 hit 
S 6431d0,4 hit 
L 603728,4 hit 
S 643250,4 hit 
L 60372c,4 hit 
S 6432d0,4 hit 
L 603730,4 hit 
S 643350,4 hit 
L 603734,4 hit 
S 6433d0,4 hit 
L 603738,4 hit 
S 643450,4 hit 
L 60373c,4 hit 
S 6434d0,4 hit 
L 6037a0,4 miss eviction 
S 643154,4 hit 
L 6037a4,4 hit 
S 6431d4,4 hit 
L 6037a8,4 hit 
S 643254,4 hit 
L 6037ac,4 hit 
S 6432d4,4 hit 
L 6037b0,4 hit 
S 643354,4 hit 
L 6037b4,4 hit 
S 6433d4,4 hit 
L 6037b8,4 hit 
S 643454,4 hit 
L 6037bc,4 hit 
S 6434d4,4 hit 
L 603820,4 miss eviction 
S 643158,4 hit 
L 603824,4 hit 
S 6431d8,4 hit 
L 603828,4 hit 
S 643258,4 hit 
L 60382c,4 hit 
S 6432d8,4 hit 
L 603830,4 hit 
S 643358,4 hit 
L 603834,4 hit 
S 6433d8,4 hit 
L 603838,4 hit 
S 643458,4 hit 
L 60383c,4 hit 
S 6434d8,4 hit 
L 6038a0,4 miss eviction 
S 64315c,4 hit 
L 6038a4,4 hit 
S 6431dc,4 hit 
L 6038a8,4 hit 
S 64325c,4 hit 
L 6038ac,4 hit 
S 6432dc,4 hit 
L 6038b0,4 hit 
S 64335c,4 hit 
L 6038b4,4 hit 
S 6433dc,4 hit 
L 6038b8,4 hit 
S 64345c,4 hit 
L 6038bc,4 hit 
S 6434dc,4 hit 
L 603560,4 miss eviction 
S 643940,4 miss eviction 
L 603564,4 hit 
S 6439c0,4 miss eviction 
L 603568,4 hit 
S 643a40,4 miss eviction 
L 60356c,4 hit 
S 643ac0,4 miss eviction 
L 603570,4 hit 
S 643b40,4 miss eviction 
L 603574,4 hit 
S 643bc0,4 miss eviction 
L 603578,4 hit 
S 643c40,4 miss eviction 
L 60357c,4 hit 
S 643cc0,4 miss eviction 
L 6035e0,4 miss eviction 
S 643944,4 hit 
L 6035e4,4 hit 
S 6439c4,4 hit 
L 6035e8,4 hit 
S 643a44,4 hit 
L 6035ec,4 hit 
S 643ac4,4 hit 
L 6035f0,4 hit 
S 643b44,4 hit 
L 6035f4,4 hit 
S 643bc4,4 hit 
L 6035f8,4 hit 
S 643c44,4 hit 
L 6035fc,4 hit 
S 643cc4,4 hit 
L 603660,4 miss eviction 
S 643948,4 hit 
L 603664,4 hit 
S 6439c8,4 hit 
L 603668,4 hit 
S 643a48,4 hit 
L 60366c,4 hit 
S 643ac8,4 hit 
L 603670,4 hit 
S 643b48,4 hit 
L 603674,4 hit 
S 643bc8,4 hit 
L 603678,4 hit 
S 643c48,4 hit 
L 60367c,4 hit 
S 643cc8,4 hit 
L 6036e0,4 miss eviction 
S 64394c,4 hit 
L 6036e4,4 hit 
S 6439cc,4 hit 
L 6036e8,4 hit 
S 643a4c,4 hit 
L 6036ec,4 hit 
S 643acc,4 hit 
L 6036f0,4 hit 
S 643b4c,4 hit 
L 6036f4,4 hit 
S 643bcc,4 hit 
L 6036f8,4 hit 
S 643c4c,4 hit 
L 6036fc,4 hit 
S 643ccc,4 hit 
L 603760,4 miss eviction 
S 643950,4 hit 
L 603764,4 hit 
S 6439d0,4 hit 
L 603768,4 hit 
S 643a50,4 hit 
L 60376c,4 hit 
S 643ad0,4 hit 
L 603770,4 hit 
S 643b50,4 hit 
L 603774,4 hit 
S 643bd0,4 hit 
L 603778,4 hit 
S 643c50,4 hit 
L 60377c,4 hit 
S 643cd0,4 hit 
L 6037e0,4 miss eviction 
S 643954,4 hit 
L 6037e4,4 hit 
S 6439d4,4 hit 
L 6037e8,4 hit 
S 643a54,4 hit 
L 6037ec,4 hit 
S 643ad4,4 hit 
L 6037f0,4 hit 
S 643b54,4 hit 
L 6037f4,4 hit 
S 643bd4,4 hit 
L 6037f8,4 hit 
S 643c54,4 hit 
L 6037fc,4 hit 
S 643cd4,4 hit 
L 603860,4 miss eviction 
S 643958,4 hit 
L 603864,4 hit 
S 6439d8,4 hit 
L 603868,4 hit 
S 643a58,4 hit 
L 60386c,4 hit 
S 643ad8,4 hit 
L 603870,4 hit 
S 643b58,4 hit 
L 603874,4 hit 
S 643bd8,4 hit 
L 603878,4 hit 
S 643c58,4 hit 
L 60387c,4 hit 
S 643cd8,4 hit 
L 6038e0,4 miss eviction 
S 64395c,4 hit 
L 6038e4,4 hit 
S 6439dc,4 hit 
L 6038e8,4 hit 
S 643a5c,4 hit 
L 6038ec,4 hit 
S 643adc,4 hit 
L 6038f0,4 hit 
S 643b5c,4 hit 
L 6038f4,4 hit 
S 643bdc,4 hit 
L 6038f8,4 hit 
S 643c5c,4 hit 
L 6038fc,4 hit 
S 643cdc,4 hit 
L 603580,4 miss eviction 
S 643d40,4 miss eviction 
L 603584,4 hit 
S 643dc0,4 miss eviction 
L 603588,4 hit 
S 643e40,4 miss eviction 
L 60358c,4 hit 
S 643ec0,4 miss eviction 
L 603590,4 hit 
S 643f40,4 miss eviction 
L 603594,4 hit 
S 643fc0,4 miss eviction 
L 603598,4 hit 
S 644040,4 miss eviction 
L 60359c,4 hit 
S 6440c0,4 miss eviction 
L 603600,4 miss eviction 
S 643d44,4 hit 
L 603604,4 hit 
S 643dc4,4 hit 
L 603608,4 hit 
S 643e44,4 hit 
L 60360c,4 hit 
S 643ec4,4 hit 
L 603610,4 hit 
S 643f44,4 hit 
L 603614,4 hit 
S 643fc4,4 hit 
L 603618,4 hit 
S 644044,4 hit 
L 60361c,4 hit 
S 6440c4,4 hit 
L 603680,4 miss eviction 
S 643d48,4 hit 
L 603684,4 hit 
S 643dc8,4 hit 
L 603688,4 hit 
S 643e48,4 hit 
L 60368c,4 hit 
S 643ec8,4 hit 
L 603690,4 hit 
S 643f48,4 hit 
L 603694,4 hit 
S 643fc8,4 hit 
L 603698,4 hit 
S 644048,4 hit 
L 60369c,4 hit 
S 6440c8,4 hit 
L 603700,4 miss eviction 
S 643d4c,4 hit 
L 603704,4 hit 
S 643dcc,4 hit 
L 603708,4 hit 
S 643e4c,4 hit 
L 60370c,4 hit 
